irrelevant label,English (US)
survey.1_DESCRIPTION,A user survey.
DisabledLabel,Disabled
DisabledYes,Yes
DisabledNo,No
InlineLabel,Inline Survey
InlineYes,Yes
InlineNo,No
ProgrammaticLabel,Programmatic
ProgrammaticYes,Yes
ProgrammaticNo,No
MaxRatingLabel,Max Rating
LowRatingTextLabel,Low Rating Text
HighRatingTextLabel,High Rating Text
SURVEY_RESULTS_BUTTON,Feedback
SURVEY_RESULTS_HEADER,Survey Responses and Statistics
SURVEY_NO_RESPONSES,No Responses Available
SURVEY_EXTRA_RESPONSES,Note: There were responses found for %{smart_count} invalid question||||%{smart_count} invalid questions
SURVEY_ESSAY_SHOWING_TOTAL,%{count} showing of %{totalCount}
SURVEY_ESSAY_LOAD_MORE,Load More Responses
Rating_Scale_Rating_Label,Rating
Rating_Scale_Responses_Label,Responses
Likert_Scale_Rating_Label,Rating
Likert_Scale_Responses_Label,Responses
Multiple_Choice_Choice_Label,Choice
Multiple_Choice_Responses_Label,Responses
PROMPT,Prompt
SURVEY_ESSAY_PROMPT_HEADER,Essay Question
SURVEY_CHOICE_PROMPT_HEADER,Multiple Choice Question
SURVEY_CHOICE_ADD_CHOICE,Add Choice
SURVEY_CHOICE_PLACEHOLDER,Enter Choice

LIKERT_STRONGLY_AGREE,Strongly agree
LIKERT_AGREE,Agree
LIKERT_NEITHER,Neither agree nor disagree
LIKERT_DISAGREE,Disagree
LIKERT_STRONGLY_DISAGREE,Strongly disagree

EDGE_REORDER_SUCCESS,Reordering successful.
EDGE_REORDER_ERROR,There was a problem reordering.
EDGE_REMOVE_ERROR,There was a problem removing.
EDGE_ADD_ERROR,There was a problem adding.
EDGE_MOVE_SUCCESS,Move was successful.
EDGE_MOVE_ERROR,There was a problem with the move. Please refresh the page.
PERFORMANCE_GATE_PART_ONE,Must score greater than or equal to:
PERFORMANCE_GATE_PART_TWO,out of 100

remediationResources,Remediation Resources
playlist,Playlist
gates,Gates
questions,Questions
captions,Captions
scripts,Scripts
stylesheets,Stylesheets
dependencies,Dependencies
survey,Survey

TIMELINE_NAV_TITLE,Timeline
TIMELINE_MODULE_DURATIONS,Course Timeline
TIMELINE_DURATION_HELP_TEXT,"Content duration can be displayed and edited by expanding the module. These durations can provide context for setting the module duration."
TIMELINE_OFFSET_HELP_TEXT,"Offset is the number of days the module will be locked beginning from the course's start date. The default time of availability is 12 midnight US/Eastern."
TIMELINE_ASSET_NAME,Module Name
TIMELINE_DURATION,Duration
TIMELINE_MODULE_DATE_OFFSET,Offset

EBOOK_MODAL_TITLE,Insert E-Book Link
EBOOK_MODAL_ERROR,The value you entered was not a valid eBook document.
EBOOK_MODAL_COPY_ERROR,There was an error copying the link.
EBOOK_MODAL_JSON_INSTRUCTIONS,Copy and paste the e-Book structure document in here.
EBOOK_MODAL_LINK_INSTRUCTIONS,Select the content you wish to link to.
EBOOK_MODAL_INSERT,Insert
EBOOK_MODAL_COPY_URL,Copy URL
EBOOK_MODAL_LINK_COPIED,LTI URL copied to clipboard.

CONTENT_HYPERLINK_MODAL_TITLE,Insert Content Link
CONTENT_HYPERLINK_MODAL_INSERT,Insert

BRANCH_LINK_MODAL_TITLE,Add Multiverse Project
BRANCH_LINK_MODAL_SUBMIT,Add

FIND_CONTENT_MODAL_TITLE,Find Content
FIND_CONTENT_MODAL_TITLE_SEARCH,Search for Content
FIND_CONTENT_MODAL_TITLE_PROJECTS,Search for Projects
FIND_CONTENT_MODAL_CLONE,Clone
FIND_CONTENT_MODAL_LINK,Link
SEARCH_BAR_PLACEHOLDER,Search all Projects...
SEARCH_GO,Search

SURVEY_CONTENT_MODAL_TITLE,Add Survey
SURVEY_CONTENT_MODAL_SUBMIT,Add

ACCESS_RIGHT,Restrictions
ACCESS_RIGHT_NONE,No Access Restrictions
ACCESS_RIGHT_INSTRUCTOR,Instructor Access Only
ACCESS_RIGHT_AUTHOR,Author Access Only

PROJECT_STORIES,Editor
STORY_undefined,Unknown
STORY_html.1,Page
STORY_discussion.1,Discussion

STORY_multiselectScoringOption_allOrNothing,No Partial Credit
STORY_multiselectScoringOption_allowPartialCredit,Partial Credit
STORY_multiselectScoringOption_fullCreditForAnyCorrectChoice,Full Credit for Any Correct Choice

STORY_randomized_true,Randomized Distractors
STORY_randomized_false,Ordered Distractors

STORY_forCredit_true,For Credit
STORY_forCredit_false,Not for Credit

STORY_ungraded,Ungraded

STORY_caseSensitive_true,Case Sensitive
STORY_caseSensitive_false,Ignore Case

STORY_scoringOption_onlyAttemptScore,Score from Only Attempt
STORY_scoringOption_firstAttemptScore,Score from First Attempt
STORY_scoringOption_mostRecentAttemptScore,Score from Last Attempt
STORY_scoringOption_highestScore,Highest Score
STORY_scoringOption_averageScore,Average Score
STORY_scoringOption_fullCreditOnAnyCompletion,Full Credit on Any Completion

STORY_gradebookCategory_uncategorized,``GRADEBOOK_UNCATEGORIZED``

STORY_singlePage_true,Single Page Assessment
STORY_singlePage_false,One Question per Page

STORY_displayConfidence_true,Ask for Confidence Level
STORY_displayConfidence_false,No Confidence Level

STORY_immediateFeedback_true,Show Results After Each Question
STORY_immediateFeedback_false,Show Results After Submission

STORY_hideAnswerIfIncorrect_true,Show Answers for Correct Responses
STORY_hideAnswerIfIncorrect_false,Show Answers for All Responses

STORY_disabled_true,Inactive
STORY_disabled_false,Active

STORY_newWindow_true,Launch in New Tab
STORY_newWindow_false,Display Inline

STORY_survey_inline,Popup Survey
STORY_survey_manual,Side Panel Survey
STORY_survey_programmatic,Programmatic Survey

STORY_TITLE_PLACEHOLDER,%{typeName} title...
STORY_INSTRUCTIONS,%{typeName} instructions
STORY_TITLE_SAVED,%{title} title saved.
STORY_INSTRUCTIONS_SAVED,%{title} instructions saved.
STORY_PAGE_SAVED,%{title} page saved.
STORY_SAVE_ERROR,An error occurred while saving.
STORY_LOS_SAVED,Learning objectives saved.
STORY_REMOVED,%{title} removed.
STORY_CUTTED,%{title} cut.
STORY_UNEDITABLE,This content cannot be edited in the narrative editor.
STORY_UNVIEWABLE,This content cannot be viewed in the narrative editor.

STORY_QUESTION_SAVED,Question saved.

DROPBOX_LINK_TITLE,Vault
DROPBOX_UPLOADED_BY,Uploaded by %{name} on %{date}.
DROPBOX_CREATED_BY,Created by %{name} on %{date}.
DROPBOX_NO_FILES,No files.
DROPBOX_NO_FILES_FILTER,No files match your filter.
DROPBOX_UPLOAD,Upload Files
DROPBOX_CREATE_FOLDER,Create Folder
DROPBOX_REFRESH,Refresh
DROPBOX_PREVIOUS_PAGE,Previous page
DROPBOX_NEXT_PAGE,Next page
DROPBOX_UNEXPECTED_ERROR,An unexpected error occurred.
DROPBOX_UPLOAD_ERROR,An upload error occurred.
DROPBOX_ARCHIVE,Archive these files.
DROPBOX_ARCHIVED,Archived %{smart_count} files.
DROPBOX_UNARCHIVE,Unarchive these files.
DROPBOX_UNARCHIVED,Unarchived %{smart_count} files.
DROPBOX_RETRY_UPLOAD,Retrying '%{name}'.
DROPBOX_UPLOADED,Uploaded one file.||||Uploaded %{smart_count} files.
DROPBOX_FILE_NAME_CONTAINS,File name contains...
DROPBOX_FOLDER_NAME,Folder name
DROPBOX_CREATED_FOLDER,Created folder '%{name}'.
DROPBOX_FILE_EXISTS,A file '%{name}' already exists.
DROPBOX_DOWNLOAD,Download Files
DROPBOX_CONFIRM_OVERWRITE,Confirm Overwrite
DROPBOX_CONFIRM_OVERWRITE_BODY,There are some existing files with the same name. Do you want to skip or overwrite those %{smart_count} files?
DROPBOX_CONFIRM_ARCHIVE,Confirm Archive
DROPBOX_CONFIRM_ARCHIVE_BODY,Are you sure you want to archive these %{smart_count} files?
DROPBOX_RENAME_FILE,Rename File
DROPBOX_FILE_NAME,File name
DROPBOX_RENAMED_TO,Renamed to '%{name}'.
DROPBOX_INVALID_RENAME,You cannot change the type of a file (%{suffix}).
DROPBOX_MOVE,Move these files.
DROPBOX_MOVED,Moved %{smart_count} files.
DROPBOX_CHOOSE_DIR,Choose Folder
DROPBOX_MOVE_CONFLICT,There are conflicting files in the target folder.
DROPBOX_UNARCHIVE_CONFLICT,There are conflicting files in the target folder.

RENAME,Rename
OVERWRITE,Overwrite
SKIP,Skip
MOVE,Move

SIZE.GB,%{size} GB
SIZE.KB,%{size} KB
SIZE.MB,%{size} MB
SIZE.B,%{size} bytes

LWC.FEEDBACK_LINK_TITLE,Feedback

FEEDBACK_POPOVER_TEXT,Add Feedback
FEEDBACK_DOWNLOAD,Download CSV
FEEDBACK_ARCHIVE_ALL,Archive all Feedback

CONFIRM_ARCHIVE_FEEDBACK.HEADER,Archive Feedback
CONFIRM_ARCHIVE_FEEDBACK.BODY,"Archive all feedback in this project, including open and closed items?"
FEEDBACK_ARCHIVED,Feedback Archived

UPDATE.PUBLISH_PROJECT,Publish Project
UPDATE.PUBLISH_UPDATE,Publish Update
UPDATE.ABOUT_TO_PUBLISH,You are about to publish this project. Are you sure you want to proceed?
UPDATE.ABOUT_TO_UPDATE,You are about to update %{count} course sections. Are you sure you want to proceed?
UPDATE.CANCEL_BTN,Cancel
UPDATE.UPDATE_BTN,Publish
UPDATE.OK_BTN,OK

LAYERED,Layered
